,Date,Ticker,Dividend,Stock Price,Dividend Yield (%)
9414,2014-12-29 00:00:00-05:00,WHLR,241920.0,,
9415,2014-12-30 00:00:00-05:00,AIRI,1.5,,
9416,2014-12-30 00:00:00-05:00,CULP,0.06,,
9417,2014-12-30 00:00:00-05:00,SUP,0.18,,
9418,2014-12-30 00:00:00-05:00,MHLD,0.13,,
9419,2014-12-31 00:00:00-05:00,CYCCP,0.15,,
9420,2014-12-31 00:00:00-05:00,CIO,0.235,,
9421,2015-01-02 00:00:00-05:00,BDN,0.15,,
9422,2015-01-02 00:00:00-05:00,BRFS,0.038,,
9423,2015-01-02 00:00:00-05:00,ABEV,0.048,,
9424,2015-01-06 00:00:00-05:00,CIG,0.052308,,
9425,2015-01-08 00:00:00-05:00,CIK,0.022,,
9426,2015-01-08 00:00:00-05:00,PHK,0.122,,
9427,2015-01-08 00:00:00-05:00,SID,0.078,,
9428,2015-01-08 00:00:00-05:00,ABEV,0.035,,
9429,2015-01-08 00:00:00-05:00,GROW,0.005,,
9430,2015-01-08 00:00:00-05:00,GORO,0.01,,
9431,2015-01-12 00:00:00-05:00,VVR,0.028,,
9432,2015-01-13 00:00:00-05:00,CMU,0.023,,
9433,2015-01-13 00:00:00-05:00,LFT,0.125,,
9434,2015-01-13 00:00:00-05:00,CXE,0.026,,
9435,2015-01-13 00:00:00-05:00,MIN,0.038,,
9436,2015-01-13 00:00:00-05:00,CIF,0.017,,
9437,2015-01-13 00:00:00-05:00,III,0.14,,
9438,2015-01-13 00:00:00-05:00,MGF,0.036,,
9439,2015-01-13 00:00:00-05:00,GGN,0.07,,
9440,2015-01-13 00:00:00-05:00,AP,0.18,,
9441,2015-01-13 00:00:00-05:00,MMT,0.032,,
9442,2015-01-14 00:00:00-05:00,BPT,2.688,,
9443,2015-01-14 00:00:00-05:00,EDF,0.18,,
9444,2015-01-14 00:00:00-05:00,CMTL,0.3,,
9445,2015-01-14 00:00:00-05:00,IHT,0.01,,
9446,2015-01-15 00:00:00-05:00,DHY,0.024,,
9447,2015-01-20 00:00:00-05:00,DSWL,0.05,,
9448,2015-01-20 00:00:00-05:00,NAT,0.218254,,
9449,2015-01-21 00:00:00-05:00,HIO,0.035,,
9450,2015-01-21 00:00:00-05:00,AWP,0.05,,
9451,2015-01-21 00:00:00-05:00,PIM,0.026,,
9452,2015-01-21 00:00:00-05:00,NXDT,0.147965,,
