,Symbol,Security Name,Price
207,BKYI,"BIO-key International, Inc. - Common Stock",0.8299999833106995
208,BLBX,Blackboxstocks Inc. - Common Stock,3.4600000381469727
209,BLDE,"Blade Air Mobility, Inc. - Class A Common Stock",3.5199999809265137
210,BLDEW,"Blade Air Mobility, Inc. - Warrants",0.20499999821186066
211,BLDP,"Ballard Power Systems, Inc. - Common Shares",1.4199999570846558
212,BLIN,"Bridgeline Digital, Inc. - Common Stock",1.649999976158142
213,BLIV,BeLive Holdings - ordinary shares,4.78000020980835
214,BLMZ,BloomZ Inc. - Ordinary Shares,0.10599999874830246
215,BLNE,"Beeline Holdings, Inc. - Common Stock",1.25
216,BLNK,Blink Charging Co. - Common Stock,0.746999979019165
217,BLRX,BioLineRx Ltd. - American Depositary Shares,3.240000009536743
218,BLUE,"bluebird bio, Inc. - Common Stock",4.96999979019165
219,BMEA,"Biomea Fusion, Inc. - Common Stock",1.5199999809265137
220,BMGL,Basel Medical Group Ltd - ordinary shares,2.369999885559082
221,BMR,Beamr Imaging Ltd. - Ordinary Share,2.8499999046325684
222,BMRA,"Biomerica, Inc. - Common Stock",3.640000104904175
223,BNAI,Brand Engagement Network Inc. - Common Stock,0.2939999997615814
224,BNGO,"Bionano Genomics, Inc. - Common Stock",3.7899999618530273
225,BNR,Burning Rock Biotech Limited - American Depositary Shares,2.8499999046325684
226,BNRG,Brenmiller Energy Ltd - Ordinary Shares,0.5789999961853027
227,BNZI,"Banzai International, Inc. - Class A Common Stock",0.8730000257492065
228,BNZIW,"Banzai International, Inc. - Warrant",0.022299999371170998
229,BOF,BranchOut Food Inc. - Common Stock,2.1500000953674316
230,BOLD,"Boundless Bio, Inc. - Common Stock",1.649999976158142
231,BOLT,"Bolt Biotherapeutics, Inc. - Common Stock",0.2930000126361847
232,BON,Bon Natural Life Limited - Class A Ordinary Shares,1.5950000286102295
233,BOSC,B.O.S. Better Online Solutions - Ordinary Shares,3.9100000858306885
234,BOWNR,Bowen Acquisition Corp - Rights,0.21940000355243683
235,BOXL,Boxlight Corporation - Class A Common Stock,1.715000033378601
236,BRAG,Bragg Gaming Group Inc. - Common Shares,4.679999828338623
237,BREA,Brera Holdings PLC - Class B Ordinary Shares,0.6710000038146973
238,BRFH,Barfresh Food Group Inc. - Common Stock,2.4800000190734863
239,BRLSW,Borealis Foods Inc. - Warrant,0.11749999970197678
240,BRLT,"Brilliant Earth Group, Inc. - Class A Common Stock",1.350000023841858
241,BRNS,Barinthus Biotherapeutics plc - American Depositary Shares,0.9440000057220459
242,BROG,Brooge Energy Limited  - Ordinary Shares,1.4800000190734863
243,BRTX,"BioRestorative Therapies, Inc. - Common Stock",1.6100000143051147
244,BRY,Berry Corporation (bry) - Common Stock,2.75
245,BSGM,"BioSig Technologies, Inc. - Common Stock",2.609999895095825
246,BSIIW,Black Spade Acquisition II Co - Warrant,0.6399999856948853
247,BSLKW,"Bolt Projects Holdings, Inc. - Warrant",0.019999999552965164
248,BTAI,"BioXcel Therapeutics, Inc. - Common Stock",1.4500000476837158
249,BTBD,"BT Brands, Inc. - Common Stock",1.0
250,BTBT,"Bit Digital, Inc. - Ordinary Share",2.380000114440918
251,BTCS,BTCS Inc. - Common Stock,2.4600000381469727
252,BTCT,BTC Digital Ltd. - Ordinary Shares,4.03000020980835
253,BTM,Bitcoin Depot Inc. - Class A Common Stock,2.680000066757202
254,BTMD,Biote Corp. - Class A common stock,4.099999904632568
255,BTMWW,Bitcoin Depot Inc. - Warrant,0.12999999523162842
256,BTOC,Armlogi Holding Corp. - common stock,1.5800000429153442
257,BTOG,Bit Origin Limited - Class A Ordinary Shares,0.17800000309944153
258,BULLW,Webull Corporation - Warrants,2.559999942779541
259,BULLZ,Webull Corporation - Incentive Warrant,2.299999952316284
260,BWEN,"Broadwind, Inc. - Common Stock",1.8799999952316284
261,BYND,"Beyond Meat, Inc. - Common stock",2.7699999809265137
262,BYSI,"BeyondSpring, Inc. - Ordinary Shares",1.659999966621399
263,BZAI,"Blaize Holdings, Inc. - Common Stock",2.130000114440918
264,BZAIW,"Blaize Holdings, Inc. - Warrant",0.20600000023841858
265,BZFD,"BuzzFeed, Inc. - Class A Common Stock",1.9800000190734863
266,BZFDW,"BuzzFeed, Inc. - Warrant",0.07999999821186066
267,BZUN,Baozun Inc. - American Depositary Shares,3.2300000190734863
268,CAAS,"China Automotive Systems, Inc. - Common Stock",4.119999885559082
269,CABA,"Cabaletta Bio, Inc. - Common Stock",2.0299999713897705
270,CALC,"CalciMedica, Inc. - Common Stock",2.0
